2022-07-29 15:55:54.572986: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2022-07-29 15:55:55.992035: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-07-29 15:55:56.360203: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1532] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22126 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:65:00.0, compute capability: 8.6
2022-07-29 15:55:57.307681: W tensorflow/core/platform/cloud/google_auth_provider.cc:184] All attempts to get a Google authentication bearer token failed, returning an empty token. Retrieving token from files failed with "NOT_FOUND: Could not locate the credentials file.". Retrieving token from GCE failed with "FAILED_PRECONDITION: Error executing an HTTP request: libcurl code 6 meaning 'Couldn't resolve host name', error details: Could not resolve host: metadata".
2022-07-29 15:56:36.772218: I tensorflow/stream_executor/cuda/cuda_dnn.cc:384] Loaded cuDNN version 8400
2022-07-29 15:56:37.763996: I tensorflow/stream_executor/cuda/cuda_blas.cc:1786] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
W0729 16:02:27.624824 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28713.287109, train_mIoU: 1.208, proceeding to videos: 7196 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28879.414062, train_mIoU: 1.248, proceeding to videos: 7596 / 300000
W0729 16:02:51.239176 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28879.414062, train_mIoU: 1.248, proceeding to videos: 7596 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28724.314453, train_mIoU: 1.213, proceeding to videos: 7996 / 300000
W0729 16:03:08.533263 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28724.314453, train_mIoU: 1.213, proceeding to videos: 7996 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28674.324219, train_mIoU: 1.250, proceeding to videos: 8396 / 300000
W0729 16:03:25.623851 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28674.324219, train_mIoU: 1.250, proceeding to videos: 8396 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28606.384766, train_mIoU: 1.175, proceeding to videos: 8796 / 300000
W0729 16:03:45.768561 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28606.384766, train_mIoU: 1.175, proceeding to videos: 8796 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28830.197266, train_mIoU: 1.153, proceeding to videos: 9196 / 300000
W0729 16:04:08.602314 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28830.197266, train_mIoU: 1.153, proceeding to videos: 9196 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28783.390625, train_mIoU: 1.177, proceeding to videos: 9596 / 300000
W0729 16:04:26.000222 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28783.390625, train_mIoU: 1.177, proceeding to videos: 9596 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28805.927734, train_mIoU: 1.182, proceeding to videos: 9996 / 300000
W0729 16:04:43.395757 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28805.927734, train_mIoU: 1.182, proceeding to videos: 9996 / 300000
